ref_date,option_price,sigma_impl,asset_price,option_ticker,ticker,K,expiry,r,t
1-May-23,11.62,23.619,304.8936,MSFT US 08/18/23 C320 Equity,MSFT US Equity,320,8/18/2023,0.02,0.302777778
2-May-23,11.87,24.451,304.7439,MSFT US 08/18/23 C320 Equity,MSFT US Equity,320,8/18/2023,0.02,0.3
3-May-23,11.37,24.593,303.7361,MSFT US 08/18/23 C320 Equity,MSFT US Equity,320,8/18/2023,0.02,0.297222222
4-May-23,12.74,25.51,304.7439,MSFT US 08/18/23 C320 Equity,MSFT US Equity,320,8/18/2023,0.02,0.294444444
5-May-23,14.1,24.573,309.9725,MSFT US 08/18/23 C320 Equity,MSFT US Equity,320,8/18/2023,0.02,0.291666667
8-May-23,12.3,24.128,307.9768,MSFT US 08/18/23 C320 Equity,MSFT US Equity,320,8/18/2023,0.02,0.283333333
9-May-23,11.7,24.188,306.3304,MSFT US 08/18/23 C320 Equity,MSFT US Equity,320,8/18/2023,0.02,0.280555556
10-May-23,13.9,24.202,311.6289,MSFT US 08/18/23 C320 Equity,MSFT US Equity,320,8/18/2023,0.02,0.277777778
11-May-23,12.6,24.007,309.4337,MSFT US 08/18/23 C320 Equity,MSFT US Equity,320,8/18/2023,0.02,0.275
12-May-23,11.76,23.677,308.2961,MSFT US 08/18/23 C320 Equity,MSFT US Equity,320,8/18/2023,0.02,0.272222222
15-May-23,11.5,23.583,308.7851,MSFT US 08/18/23 C320 Equity,MSFT US Equity,320,8/18/2023,0.02,0.263888889
16-May-23,12.92,23.786,311.0601,MSFT US 08/18/23 C320 Equity,MSFT US Equity,320,8/18/2023,0.02,0.261111111
17-May-23,14,23.118,314,MSFT US 08/18/23 C320 Equity,MSFT US Equity,320,8/18/2023,0.02,0.258333333
18-May-23,16.15,23.255,318.52,MSFT US 08/18/23 C320 Equity,MSFT US Equity,320,8/18/2023,0.02,0.255555556
19-May-23,16.05,23.127,318.34,MSFT US 08/18/23 C320 Equity,MSFT US Equity,320,8/18/2023,0.02,0.252777778
22-May-23,17.65,23.811,321.18,MSFT US 08/18/23 C320 Equity,MSFT US Equity,320,8/18/2023,0.02,0.244444444
23-May-23,14.7,24.191,315.26,MSFT US 08/18/23 C320 Equity,MSFT US Equity,320,8/18/2023,0.02,0.241666667
24-May-23,14.05,24.842,313.85,MSFT US 08/18/23 C320 Equity,MSFT US Equity,320,8/18/2023,0.02,0.238888889
25-May-23,21.75,26.415,325.92,MSFT US 08/18/23 C320 Equity,MSFT US Equity,320,8/18/2023,0.02,0.236111111
26-May-23,26.71,27.035,332.89,MSFT US 08/18/23 C320 Equity,MSFT US Equity,320,8/18/2023,0.02,0.233333333
30-May-23,24.3,26.889,331.21,MSFT US 08/18/23 C320 Equity,MSFT US Equity,320,8/18/2023,0.02,0.222222222
31-May-23,23.86,26.123,328.39,MSFT US 08/18/23 C320 Equity,MSFT US Equity,320,8/18/2023,0.02,0.219444444
1-Jun-23,24.8,26.031,332.58,MSFT US 08/18/23 C320 Equity,MSFT US Equity,320,8/18/2023,0.02,0.216666667
2-Jun-23,26.8,25.06,335.4,MSFT US 08/18/23 C320 Equity,MSFT US Equity,320,8/18/2023,0.02,0.213888889
5-Jun-23,27.6,24.934,335.94,MSFT US 08/18/23 C320 Equity,MSFT US Equity,320,8/18/2023,0.02,0.205555556
6-Jun-23,24.65,24.302,333.68,MSFT US 08/18/23 C320 Equity,MSFT US Equity,320,8/18/2023,0.02,0.202777778
7-Jun-23,17.42,24.119,323.38,MSFT US 08/18/23 C320 Equity,MSFT US Equity,320,8/18/2023,0.02,0.2
8-Jun-23,18.25,23.681,325.26,MSFT US 08/18/23 C320 Equity,MSFT US Equity,320,8/18/2023,0.02,0.197222222
9-Jun-23,19.1,24.502,326.79,MSFT US 08/18/23 C320 Equity,MSFT US Equity,320,8/18/2023,0.02,0.194444444
12-Jun-23,23.05,24.767,331.85,MSFT US 08/18/23 C320 Equity,MSFT US Equity,320,8/18/2023,0.02,0.186111111
13-Jun-23,23.6,24.773,334.29,MSFT US 08/18/23 C320 Equity,MSFT US Equity,320,8/18/2023,0.02,0.183333333
14-Jun-23,26.76,25.895,337.34,MSFT US 08/18/23 C320 Equity,MSFT US Equity,320,8/18/2023,0.02,0.180555556
15-Jun-23,35.12,27.263,348.1,MSFT US 08/18/23 C320 Equity,MSFT US Equity,320,8/18/2023,0.02,0.177777778
