ref_date,option_price,sigma_impl,asset_price,option_ticker,ticker,K,expiry,r,t,call_option,D_call_option,D_sigma_impl,sqrt_t,D_S,delta_bs,vega_bs,y_serie,a,b,c,delta_mv,portfolio_bs,cashflow_delta_bs,dt,cash_account_bs,pl_cumulative_bs,portfolio_mv,cashflow_delta_mv,cash_account_mv,pl_cumulative_mv
2023-05-01,11.62,23.619,304.8936,MSFT US 08/18/23 C320 Equity,MSFT US Equity,320,2023-08-18,0.02,0.302777778,10.39720225577075,,,0.5502524675092334,,0.39723435928741174,64.69687865256999,,-4.390410669239354,13.107970532559364,-9.570301942897242,0.12975174292814917,-110.71701159106165,,,110.71701159106165,0.0,-29.163273751867187,,29.163273751867187,0.0
2023-05-02,11.87,24.451,304.7439,MSFT US 08/18/23 C320 Equity,MSFT US Equity,320,2023-08-18,0.02,0.3,10.797241823710792,0.40003956794004125,0.8320000000000007,0.5477225575051661,-0.14969999999999573,0.40013759329266085,64.49222019767433,-7.95184410842477,-4.390410669239354,13.107970532559364,-9.570301942897242,0.13828160404363787,-111.14224889290851,0.8847428533722346,0.0027777780000000085,111.60790556087713,0.4656566679686165,-31.343233490803186,2.5994231427923773,31.764317121670178,0.42108363086699185
2023-05-03,11.37,24.593,303.7361,MSFT US 08/18/23 C320 Equity,MSFT US Equity,320,2023-08-18,0.02,0.297222222,10.410575551933036,-0.3866662717777558,0.14199999999999946,0.5451809075893982,-1.0077999999999747,0.3906325338180763,63.56306483129661,-0.01812899926456632,-4.390410669239354,13.107970532559364,-9.570301942897242,0.11027236051597417,-108.23862680308757,-2.8870296950783687,0.0027777780000000085,108.72707647773026,0.48844967464269473,-23.08312116898295,-8.507418393042817,23.258663462073002,0.17554229309005365
2023-05-04,12.74,25.51,304.7439,MSFT US 08/18/23 C320 Equity,MSFT US Equity,320,2023-08-18,0.02,0.294444444,11.315560574786701,0.9049850228536656,0.9170000000000016,0.5426273527937935,1.0077999999999747,0.4047230268243243,64.07961698868104,1.2728895171750525,-4.390410669239354,13.107970532559364,-9.570301942897242,0.15170378769786091,-112.0213130394625,4.293991791646752,0.002777777999999953,113.02710883078974,1.0057957913272446,-34.915243333031455,12.625974701974178,35.88593034801434,0.9706870149828859
2023-05-05,14.1,24.573,309.9725,MSFT US 08/18/23 C320 Equity,MSFT US Equity,320,2023-08-18,0.02,0.291666667,12.849303385824442,1.5337428110377402,-0.9370000000000012,0.5400617251759284,5.228600000000029,0.44844426452723485,66.226193180414,-0.3920743142334391,-4.390410669239354,13.107970532559364,-9.570301942897242,0.2756332158501351,-126.15608640034387,13.552381353865435,0.002777777000000037,126.5857696411486,0.4296832408047351,-72.58941361428157,38.41471466793082,74.30263873356456,1.7132251192829955
2023-05-08,12.3,24.128,307.9768,MSFT US 08/18/23 C320 Equity,MSFT US Equity,320,2023-08-18,0.02,0.283333333,11.436700429042403,-1.4126029567820382,-0.4450000000000003,0.532290647109265,-1.9956999999999994,0.4247134601126159,64.23182863609097,0.7225560021391759,-4.390410669239354,13.107970532559364,-9.570301942897242,0.2093767097959181,-119.3651919333687,-7.308537205040216,0.00833333399999997,119.29833182430338,-0.06686010906533113,-53.046468648433105,-20.405466713758383,53.909556825957736,0.8630881775246309
2023-05-09,11.7,24.188,306.3304,MSFT US 08/18/23 C320 Equity,MSFT US Equity,320,2023-08-18,0.02,0.280555556,10.707243855571136,-0.7294565734712677,0.05999999999999872,0.5296749531552346,-1.6464000000000283,0.4079197905726096,62.99862621665065,0.09050909845338724,-4.390410669239354,13.107970532559364,-9.570301942897242,0.16102233804977353,-114.25098875845258,-5.144411507657955,0.002777777000000037,114.16054818399671,-0.09044057445586873,-38.61879336815121,-14.812414038745164,39.10013784494846,0.4813444767972541
2023-05-10,13.9,24.202,311.6289,MSFT US 08/18/23 C320 Equity,MSFT US Equity,320,2023-08-18,0.02,0.277777778,12.931146184423795,2.2239023288526596,0.014000000000002899,0.5270462769055484,5.29849999999999,0.4599805431696568,65.19346350569087,-0.10142141429467354,-4.390410669239354,13.107970532559364,-9.570301942897242,0.30680244036817556,-130.41208450493886,16.22363506498997,0.0027777780000000085,130.39052567834793,-0.021558826590933222,-82.67736082482634,45.42929292737107,84.53160306271444,1.8542422378881014
2023-05-11,12.6,24.007,309.4337,MSFT US 08/18/23 C320 Equity,MSFT US Equity,320,2023-08-18,0.02,0.275,11.73598497928107,-1.1951612051427247,-0.19500000000000028,0.5244044240850758,-2.1952,0.4364107557167717,63.91161593582892,0.27428839414077966,-4.390410669239354,13.107970532559364,-9.570301942897242,0.2423711152890377,-123.30420988195574,-7.29328653975982,0.002777777999999953,123.10448325848459,-0.19972662347115033,-63.26180599773244,-19.937223315140415,64.59907607857232,1.337270080839886
2023-05-12,11.76,23.677,308.2961,MSFT US 08/18/23 C320 Equity,MSFT US Equity,320,2023-08-18,0.02,0.272222222,10.95458819906817,-0.7813967802129014,-0.33000000000000185,0.5217491945369921,-1.1375999999999635,0.4223915699661966,62.953047103996965,0.675807116471437,-4.390410669239354,13.107970532559364,-9.570301942897242,0.20275644440977916,-119.26708549438739,-4.3220602920778735,0.0027777780000000085,118.78926229489227,-0.47782319949511987,-51.554432862333556,-12.21304853485898,52.38961648125216,0.8351836189186059
2023-05-15,11.5,23.583,308.7851,MSFT US 08/18/23 C320 Equity,MSFT US Equity,320,2023-08-18,0.02,0.263888889,10.853136651524721,-0.10145154754344787,-0.0940000000000012,0.513701167022229,0.4889999999999759,0.4245197370150575,62.14547568654443,-1.6131159862252167,-4.390410669239354,13.107970532559364,-9.570301942897242,0.20882521731174294,-120.23223279464352,0.657146274999227,0.008333332999999998,119.46620842942444,-0.7660243652190815,-53.628978958603554,1.8739466474101765,54.27229545873388,0.6433165001303252
2023-05-16,12.92,23.786,311.0601,MSFT US 08/18/23 C320 Equity,MSFT US Equity,320,2023-08-18,0.02,0.261111111,11.8879391868725,1.0348025353477794,0.20300000000000296,0.5109903237831417,2.2749999999999773,0.44852601881889603,62.882794187822384,0.016005985336315035,-4.390410669239354,13.107970532559364,-9.570301942897242,0.2758566573192033,-127.63060907953516,7.467396418530188,0.0027777780000000085,126.94024204442988,-0.6903670351052824,-73.9200602245046,20.850806431864612,75.1261171021203,1.2060568776157083
2023-05-17,14.0,23.118,314.0,MSFT US 08/18/23 C320 Equity,MSFT US Equity,320,2023-08-18,0.02,0.258333333,12.73840705179461,0.8504678649221091,-0.6680000000000028,0.5082650224046507,2.939900000000023,0.47672824756956983,63.56092176567409,-0.47065248612225424,-4.390410669239354,13.107970532559364,-9.570301942897242,0.35067325855811216,-136.9542626850503,8.855499827711572,0.0027777780000000085,135.80279430427387,-1.1514683807764357,-97.37299613545261,23.492412789017386,98.62270368058145,1.2497075451288424
2023-05-18,16.15,23.255,318.52,MSFT US 08/18/23 C320 Equity,MSFT US Equity,320,2023-08-18,0.02,0.255555556,15.002126039877567,2.2637189880829567,0.13700000000000045,0.5055250300430237,4.519999999999982,0.5250465428633528,64.11097722786768,-0.06083989993885443,-4.390410669239354,13.107970532559364,-9.570301942897242,0.46675723261884877,-152.23569879295758,15.390343416975764,0.0027777769999999813,151.2006825283967,-1.0350162645608805,-133.66938769387812,36.97506741782583,135.6032502881648,1.9338625942866656
